"STPSxx-SPCT Inductif_31029_20190603_112345.csv"
"Claire Julien Lafosse"
"sn :";31029
"Cadence d'enregistrement :";"3600 s"

Date;"Température (-5 +35°C) (øC)";"Profondeur 30m (m)";"Conductivité (g/l)"
"07/05/2019 11:00:00";13,33;0,49;34,80
"07/05/2019 12:00:00";13,68;0,50;34,83
"07/05/2019 13:00:00";13,91;0,52;34,87
"07/05/2019 14:00:00";14,03;0,50;34,80
"07/05/2019 15:00:00";14,25;0,49;34,77
"07/05/2019 16:00:00";14,43;0,48;34,66
"07/05/2019 17:00:00";14,56;0,47;34,68
"07/05/2019 18:00:00";14,77;0,44;34,72
"07/05/2019 19:00:00";15,04;0,41;34,81
"07/05/2019 20:00:00";14,87;0,39;34,92
"07/05/2019 21:00:00";14,59;0,36;35,00
"07/05/2019 22:00:00";14,32;0,35;34,94
"07/05/2019 23:00:00";13,96;0,32;34,86
"08/05/2019 00:00:00";13,59;0,33;34,80
"08/05/2019 01:00:00";13,18;0,33;34,72
"08/05/2019 02:00:00";13,08;0,32;34,69
"08/05/2019 03:00:00";13,05;0,33;34,69
"08/05/2019 04:00:00";13,00;0,33;34,70
"08/05/2019 05:00:00";12,94;0,32;34,69
"08/05/2019 06:00:00";12,93;0,31;34,69
"08/05/2019 07:00:00";12,88;0,31;34,70
"08/05/2019 08:00:00";12,88;0,33;34,64
"08/05/2019 09:00:00";13,12;0,33;34,62
"08/05/2019 10:00:00";13,37;0,33;34,62
"08/05/2019 11:00:00";13,26;0,35;34,47
"08/05/2019 12:00:00";13,22;0,32;34,13
"08/05/2019 13:00:00";13,75;0,30;34,11
"08/05/2019 14:00:00";15,12;0,27;34,22
"08/05/2019 15:00:00";16,43;0,27;33,97
"08/05/2019 16:00:00";17,34;0,25;33,88
"08/05/2019 17:00:00";18,64;0,21;33,82
"08/05/2019 18:00:00";18,80;0,19;33,90
"08/05/2019 19:00:00";18,48;0,17;33,88
"08/05/2019 20:00:00";18,37;0,16;33,95
"08/05/2019 21:00:00";17,16;0,15;33,89
"08/05/2019 22:00:00";16,66;0,13;33,81
"08/05/2019 23:00:00";16,39;0,13;33,86
"09/05/2019 00:00:00";16,11;0,11;33,95
"09/05/2019 01:00:00";15,96;0,11;34,03
"09/05/2019 02:00:00";15,73;0,11;34,08
"09/05/2019 03:00:00";15,43;0,19;34,10
"09/05/2019 04:00:00";15,04;0,21;34,09
"09/05/2019 05:00:00";14,70;0,24;34,08
