"STPSxx-SPCT Inductif_31029_20190808_095802.csv"
"Claire Julien Lafosse"
"sn :";31029
"Cadence d'enregistrement :";"3600 s"

Date;"Température (-5 +35°C) (øC)";"Profondeur 30m (m)";"Conductivité (g/l)"
"02/07/2019 18:00:00";27,07;0,31;40,50
"02/07/2019 19:00:00";26,90;0,30;40,50
"02/07/2019 20:00:00";26,22;0,30;40,50
"02/07/2019 21:00:00";25,48;0,30;40,50
"02/07/2019 22:00:00";24,75;0,32;40,52
"02/07/2019 23:00:00";24,12;0,33;40,53
"03/07/2019 00:00:00";23,47;0,36;40,51
"03/07/2019 01:00:00";22,96;0,36;40,52
"03/07/2019 02:00:00";22,51;0,37;40,53
"03/07/2019 03:00:00";22,11;0,38;40,53
"03/07/2019 04:00:00";21,76;0,39;40,53
"03/07/2019 05:00:00";21,47;0,40;40,53
"03/07/2019 06:00:00";21,24;0,41;40,54
"03/07/2019 07:00:00";21,02;0,42;40,57
"03/07/2019 08:00:00";20,87;0,44;40,57
"03/07/2019 09:00:00";20,80;0,52;40,56
"03/07/2019 10:00:00";21,01;0,76;40,74
"03/07/2019 11:00:00";21,05;0,76;40,79
"03/07/2019 12:00:00";21,08;0,76;40,79
"03/07/2019 13:00:00";21,14;0,77;40,80
"03/07/2019 14:00:00";21,21;0,76;40,82
"03/07/2019 15:00:00";21,31;0,76;40,82
"03/07/2019 16:00:00";21,37;0,75;40,85
"03/07/2019 17:00:00";21,42;0,76;40,84
"03/07/2019 18:00:00";21,47;0,76;40,84
"03/07/2019 19:00:00";21,50;0,75;40,85
"03/07/2019 20:00:00";21,52;0,75;40,84
"03/07/2019 21:00:00";21,51;0,75;40,83
"03/07/2019 22:00:00";21,50;0,76;40,83
"03/07/2019 23:00:00";21,49;0,77;40,83
"04/07/2019 00:00:00";21,48;0,77;40,84
"04/07/2019 01:00:00";21,49;0,78;40,83
"04/07/2019 02:00:00";21,52;0,77;40,84
"04/07/2019 03:00:00";21,52;0,77;40,87
"04/07/2019 04:00:00";21,54;0,77;40,88
"04/07/2019 05:00:00";21,53;0,76;40,89
"04/07/2019 06:00:00";21,50;0,77;40,89
"04/07/2019 07:00:00";21,45;0,84;40,97
"04/07/2019 08:00:00";21,38;0,84;40,98
"04/07/2019 09:00:00";21,21;0,84;40,98
"04/07/2019 10:00:00";21,11;0,86;40,97
"04/07/2019 11:00:00";21,16;0,86;41,03
"04/07/2019 12:00:00";21,14;0,86;41,05
"04/07/2019 13:00:00";20,99;0,87;41,00
"04/07/2019 14:00:00";20,87;0,86;40,99
"04/07/2019 15:00:00";20,89;0,86;41,01
"04/07/2019 16:00:00";20,99;0,85;41,03
"04/07/2019 17:00:00";21,07;0,85;41,06
"04/07/2019 18:00:00";21,13;0,85;41,03
"04/07/2019 19:00:00";21,15;0,84;41,04
"04/07/2019 20:00:00";21,12;0,85;41,02
"04/07/2019 21:00:00";21,10;0,86;41,02
"04/07/2019 22:00:00";21,07;0,86;41,01
"04/07/2019 23:00:00";21,05;0,88;41,01
"05/07/2019 00:00:00";21,03;0,88;41,02
"05/07/2019 01:00:00";21,02;0,88;41,01
"05/07/2019 02:00:00";21,01;0,88;40,99
"05/07/2019 03:00:00";21,01;0,88;40,99
"05/07/2019 04:00:00";21,00;0,88;40,99
"05/07/2019 05:00:00";20,99;0,88;40,98
"05/07/2019 06:00:00";21,00;0,89;40,99
"05/07/2019 07:00:00";20,98;0,89;41,00
"05/07/2019 08:00:00";20,95;0,89;41,00
"05/07/2019 09:00:00";20,93;0,89;40,98
"05/07/2019 10:00:00";20,91;0,89;40,97
"05/07/2019 11:00:00";20,88;0,90;40,97
"05/07/2019 12:00:00";20,85;0,90;40,96
"05/07/2019 13:00:00";20,85;0,90;40,95
"05/07/2019 14:00:00";20,83;0,90;40,93
"05/07/2019 15:00:00";20,83;0,91;40,89
"05/07/2019 16:00:00";20,83;0,90;40,89
"05/07/2019 17:00:00";20,84;0,90;40,88
"05/07/2019 18:00:00";20,85;0,90;40,87
"05/07/2019 19:00:00";20,86;0,89;40,89
"05/07/2019 20:00:00";20,86;0,89;40,89
"05/07/2019 21:00:00";20,86;0,89;40,89
"05/07/2019 22:00:00";20,87;0,89;40,89
"05/07/2019 23:00:00";20,85;0,90;40,90
"06/07/2019 00:00:00";20,86;0,90;40,89
"06/07/2019 01:00:00";20,86;0,90;40,90
"06/07/2019 02:00:00";20,86;0,91;40,91
"06/07/2019 03:00:00";20,86;0,91;40,92
"06/07/2019 04:00:00";20,86;0,91;40,92
"06/07/2019 05:00:00";20,86;0,91;40,92
"06/07/2019 06:00:00";20,86;0,91;40,92
"06/07/2019 07:00:00";20,86;0,91;40,92
"06/07/2019 08:00:00";20,86;0,92;40,92
"06/07/2019 09:00:00";20,89;0,91;40,91
"06/07/2019 10:00:00";20,89;0,92;40,92
"06/07/2019 11:00:00";20,89;0,93;40,92
"06/07/2019 12:00:00";20,90;0,93;40,90
"06/07/2019 13:00:00";20,94;0,93;40,91
"06/07/2019 14:00:00";20,99;0,94;40,91
"06/07/2019 15:00:00";21,03;0,93;40,90
"06/07/2019 16:00:00";21,04;0,94;40,88
"06/07/2019 17:00:00";21,06;0,94;40,87
"06/07/2019 18:00:00";21,06;0,94;40,88
"06/07/2019 19:00:00";21,05;0,94;40,87
"06/07/2019 20:00:00";21,05;0,94;40,87
"06/07/2019 21:00:00";21,04;0,94;40,87
"06/07/2019 22:00:00";21,03;0,96;40,87
"06/07/2019 23:00:00";21,01;0,97;40,87
"07/07/2019 00:00:00";21,02;0,97;40,87
"07/07/2019 01:00:00";21,01;0,97;40,87
"07/07/2019 02:00:00";21,00;0,98;40,86
"07/07/2019 03:00:00";20,99;0,98;40,86
"07/07/2019 04:00:00";20,99;0,98;40,86
"07/07/2019 05:00:00";21,00;0,99;40,85
"07/07/2019 06:00:00";21,01;0,99;40,86
"07/07/2019 07:00:00";21,03;1,00;40,86
"07/07/2019 08:00:00";21,04;1,00;40,86
"07/07/2019 09:00:00";21,05;1,01;40,86
"07/07/2019 10:00:00";21,07;1,02;40,85
"07/07/2019 11:00:00";21,08;1,01;40,85
"07/07/2019 12:00:00";21,11;1,02;40,85
"07/07/2019 13:00:00";21,14;1,03;40,85
"07/07/2019 14:00:00";21,18;1,03;40,85
"07/07/2019 15:00:00";21,23;1,02;40,84
"07/07/2019 16:00:00";21,27;1,03;40,84
"07/07/2019 17:00:00";21,29;1,03;40,84
"07/07/2019 18:00:00";21,30;1,03;40,83
"07/07/2019 19:00:00";21,29;1,03;40,83
"07/07/2019 20:00:00";21,28;1,04;40,83
"07/07/2019 21:00:00";21,26;1,03;40,83
"07/07/2019 22:00:00";21,25;1,04;40,83
"07/07/2019 23:00:00";21,25;1,03;40,82
"08/07/2019 00:00:00";21,24;1,04;40,82
"08/07/2019 01:00:00";21,22;1,05;40,82
"08/07/2019 02:00:00";21,21;1,05;40,82
"08/07/2019 03:00:00";21,23;1,05;40,81
"08/07/2019 04:00:00";21,24;1,05;40,81
"08/07/2019 05:00:00";21,26;1,05;40,80
"08/07/2019 06:00:00";21,27;1,05;40,81
"08/07/2019 07:00:00";21,28;1,05;40,80
"08/07/2019 08:00:00";21,28;1,05;40,80
"08/07/2019 09:00:00";21,28;1,06;40,80
"08/07/2019 10:00:00";21,29;1,05;40,80
"08/07/2019 11:00:00";21,30;1,06;40,80
"08/07/2019 12:00:00";21,33;1,05;40,79
"08/07/2019 13:00:00";21,35;1,05;40,79
"08/07/2019 14:00:00";21,40;1,06;40,78
"08/07/2019 15:00:00";21,43;1,08;40,78
"08/07/2019 16:00:00";21,45;1,05;40,78
"08/07/2019 17:00:00";21,47;1,06;40,77
"08/07/2019 18:00:00";21,47;1,05;40,77
"08/07/2019 19:00:00";21,46;1,05;40,77
"08/07/2019 20:00:00";21,45;1,06;40,76
"08/07/2019 21:00:00";21,44;1,06;40,76
"08/07/2019 22:00:00";21,43;1,05;40,76
"08/07/2019 23:00:00";21,43;1,06;40,77
"09/07/2019 00:00:00";21,44;1,06;40,75
"09/07/2019 01:00:00";21,43;1,06;40,75
"09/07/2019 02:00:00";21,42;1,06;40,75
"09/07/2019 03:00:00";21,42;1,06;40,74
"09/07/2019 04:00:00";21,42;1,06;40,73
"09/07/2019 05:00:00";21,42;1,06;40,73
"09/07/2019 06:00:00";21,43;1,05;40,72
"09/07/2019 07:00:00";21,44;1,08;40,73
"09/07/2019 08:00:00";21,44;1,08;40,72
"09/07/2019 09:00:00";21,44;1,08;40,71
"09/07/2019 10:00:00";21,42;1,08;40,71
"09/07/2019 11:00:00";21,40;1,08;40,70
"09/07/2019 12:00:00";21,38;1,05;40,70
"09/07/2019 13:00:00";21,36;1,05;40,70
"09/07/2019 14:00:00";21,37;1,05;40,68
"09/07/2019 15:00:00";21,38;1,05;40,67
"09/07/2019 16:00:00";21,38;1,05;40,67
"09/07/2019 17:00:00";21,38;1,05;40,66
"09/07/2019 18:00:00";21,36;1,04;40,65
"09/07/2019 19:00:00";21,31;1,04;40,64
"09/07/2019 20:00:00";21,25;1,05;40,66
"09/07/2019 21:00:00";21,18;1,04;40,66
"09/07/2019 22:00:00";21,12;1,04;40,67
"09/07/2019 23:00:00";21,06;1,05;40,69
"10/07/2019 00:00:00";21,05;1,05;40,74
"10/07/2019 01:00:00";21,09;1,04;40,79
"10/07/2019 02:00:00";21,13;1,04;40,83
"10/07/2019 03:00:00";21,21;1,04;40,83
"10/07/2019 04:00:00";21,30;1,03;40,87
"10/07/2019 05:00:00";21,39;1,03;40,87
"10/07/2019 06:00:00";21,48;1,04;40,89
"10/07/2019 07:00:00";21,62;1,04;40,94
"10/07/2019 08:00:00";21,67;1,04;40,96
