"STPSxx-SPCT Inductif_31029_20190131_110148.csv"
"Claire Julien Lafosse"
"sn :";31029
"Cadence d'enregistrement :";"3600 s"

Date;"Température (-5 +35°C) (øC)";"Profondeur 30m (m)";"Conductivité (g/l)"
"05/12/2018 12:00:00";19,00;0,15;0,01
"05/12/2018 13:00:00";11,32;0,97;28,83
"05/12/2018 14:00:00";11,42;0,98;28,84
"05/12/2018 15:00:00";11,55;0,98;28,85
"05/12/2018 16:00:00";11,63;0,96;28,86
"05/12/2018 17:00:00";11,65;0,96;28,78
"05/12/2018 18:00:00";11,67;0,94;28,42
"05/12/2018 19:00:00";11,70;0,94;28,50
"05/12/2018 20:00:00";11,71;0,94;28,50
"05/12/2018 21:00:00";11,69;0,96;28,52
"05/12/2018 22:00:00";11,66;0,96;28,50
"05/12/2018 23:00:00";11,65;0,96;28,50
"06/12/2018 00:00:00";11,67;0,96;28,42
"06/12/2018 01:00:00";11,70;0,97;28,42
"06/12/2018 02:00:00";11,72;0,98;28,41
"06/12/2018 03:00:00";11,72;0,97;28,41
"06/12/2018 04:00:00";11,73;0,99;28,41
"06/12/2018 05:00:00";11,73;0,99;28,43
"06/12/2018 06:00:00";11,73;1,00;28,44
"06/12/2018 07:00:00";11,73;1,01;28,45
"06/12/2018 08:00:00";11,73;1,01;28,49
"06/12/2018 09:00:00";11,73;1,01;28,55
"06/12/2018 10:00:00";11,73;1,02;28,52
"06/12/2018 11:00:00";11,75;1,04;28,51
"06/12/2018 12:00:00";11,79;1,04;28,55
"06/12/2018 13:00:00";11,90;0,98;28,30
"06/12/2018 14:00:00";12,05;0,99;28,32
"06/12/2018 15:00:00";12,23;1,00;28,34
"06/12/2018 16:00:00";12,28;1,00;28,39
"06/12/2018 17:00:00";12,27;1,00;28,39
"06/12/2018 18:00:00";12,23;1,00;28,39
"06/12/2018 19:00:00";12,17;0,99;28,42
"06/12/2018 20:00:00";12,11;0,99;28,41
"06/12/2018 21:00:00";12,06;1,00;28,45
"06/12/2018 22:00:00";12,02;0,99;28,42
"06/12/2018 23:00:00";11,99;0,98;28,45
"07/12/2018 00:00:00";11,96;0,98;28,46
"07/12/2018 01:00:00";11,93;0,98;28,45
"07/12/2018 02:00:00";11,92;0,96;28,47
"07/12/2018 03:00:00";11,90;0,96;28,46
"07/12/2018 04:00:00";11,88;0,94;28,46
"07/12/2018 05:00:00";11,87;0,94;28,52
"07/12/2018 06:00:00";11,85;0,93;28,46
"07/12/2018 07:00:00";11,84;0,91;28,49
"07/12/2018 08:00:00";11,81;0,90;28,48
"07/12/2018 09:00:00";11,77;0,90;28,50
"07/12/2018 10:00:00";11,73;0,87;28,44
"07/12/2018 11:00:00";11,71;0,86;28,35
"07/12/2018 12:00:00";11,72;0,87;28,13
"07/12/2018 13:00:00";11,61;0,87;28,12
"07/12/2018 14:00:00";11,67;0,88;28,13
"07/12/2018 15:00:00";11,64;0,88;28,13
"07/12/2018 16:00:00";11,45;0,90;28,07
"07/12/2018 17:00:00";11,21;0,90;28,08
"07/12/2018 18:00:00";10,86;0,91;28,10
"07/12/2018 19:00:00";10,56;0,92;28,11
"07/12/2018 20:00:00";10,27;0,93;28,10
"07/12/2018 21:00:00";10,03;0,93;28,11
"07/12/2018 22:00:00";9,78;0,93;28,08
"07/12/2018 23:00:00";9,63;0,93;28,11
"08/12/2018 00:00:00";9,50;0,94;28,08
"08/12/2018 01:00:00";9,40;0,94;28,08
"08/12/2018 02:00:00";9,33;0,93;28,05
"08/12/2018 03:00:00";9,26;0,94;28,03
