"STPSxx-SPCT Inductif_31032_20200131_143514.csv"
"Claire Maxime"
"sn :";31032
"Cadence d'enregistrement :";"3600 s"

Date;"Température (-5 +35°C) (øC)";"Profondeur 30m (m)";"Salinité (g/l)"
"28/12/2019 05:00:00";10,09;0,90;24,71
"28/12/2019 06:00:00";10,08;0,91;24,56
"28/12/2019 07:00:00";10,04;0,91;24,40
"28/12/2019 08:00:00";9,98;0,90;24,65
"28/12/2019 09:00:00";9,98;0,90;24,47
"28/12/2019 10:00:00";9,85;0,91;24,10
"28/12/2019 11:00:00";9,93;0,91;24,00
"28/12/2019 12:00:00";9,84;0,92;24,02
"28/12/2019 13:00:00";10,06;0,92;24,04
"28/12/2019 14:00:00";10,51;0,91;24,16
"28/12/2019 15:00:00";10,43;0,91;24,23
"28/12/2019 16:00:00";10,33;0,91;24,19
"28/12/2019 17:00:00";10,14;0,91;24,28
"28/12/2019 18:00:00";10,00;0,91;24,29
"28/12/2019 19:00:00";9,96;0,91;24,35
"28/12/2019 20:00:00";9,85;0,91;24,44
"28/12/2019 21:00:00";9,70;0,90;24,33
"28/12/2019 22:00:00";9,47;0,89;24,17
"28/12/2019 23:00:00";9,54;0,89;24,33
"29/12/2019 00:00:00";9,48;0,89;24,64
"29/12/2019 01:00:00";9,40;0,88;24,69
"29/12/2019 02:00:00";9,35;0,88;24,67
"29/12/2019 03:00:00";9,28;0,89;24,66
"29/12/2019 04:00:00";9,29;0,89;24,70
"29/12/2019 05:00:00";9,23;0,88;24,68
"29/12/2019 06:00:00";9,14;0,87;24,70
"29/12/2019 07:00:00";8,98;0,88;24,70
"29/12/2019 08:00:00";8,76;0,88;24,68
"29/12/2019 09:00:00";8,60;0,87;24,72
"29/12/2019 10:00:00";7,41;0,84;24,44
"29/12/2019 11:00:00";7,34;0,84;24,46
"29/12/2019 12:00:00";7,56;0,85;24,33
"29/12/2019 13:00:00";7,94;0,85;24,36
"29/12/2019 14:00:00";8,03;0,86;24,35
"29/12/2019 15:00:00";7,45;0,84;24,22
"29/12/2019 16:00:00";7,64;0,83;24,26
"29/12/2019 17:00:00";7,87;0,83;24,29
"29/12/2019 18:00:00";7,86;0,84;24,33
"29/12/2019 19:00:00";7,72;0,83;24,34
"29/12/2019 20:00:00";7,62;0,83;24,35
"29/12/2019 21:00:00";7,55;0,83;24,41
"29/12/2019 22:00:00";7,36;0,82;24,39
"29/12/2019 23:00:00";7,16;0,82;24,39
"30/12/2019 00:00:00";6,93;0,81;24,37
"30/12/2019 01:00:00";6,68;0,81;24,39
"30/12/2019 02:00:00";6,71;0,79;24,41
"30/12/2019 03:00:00";5,92;0,80;24,36
"30/12/2019 04:00:00";5,01;0,76;24,26
"30/12/2019 05:00:00";4,83;0,76;24,28
"30/12/2019 06:00:00";4,71;0,75;24,28
"30/12/2019 07:00:00";4,85;0,75;24,33
"30/12/2019 08:00:00";4,51;0,73;24,30
"30/12/2019 09:00:00";4,60;0,74;24,30
"30/12/2019 10:00:00";4,53;0,73;24,33
"30/12/2019 11:00:00";4,01;0,73;24,30
"30/12/2019 12:00:00";4,29;0,73;24,33
"30/12/2019 13:00:00";4,76;0,74;24,34
"30/12/2019 14:00:00";5,10;0,74;24,32
"30/12/2019 15:00:00";5,41;0,73;24,35
"30/12/2019 16:00:00";5,64;0,74;24,35
"30/12/2019 17:00:00";5,70;0,73;24,36
"30/12/2019 18:00:00";5,70;0,72;24,38
"30/12/2019 19:00:00";5,67;0,74;24,38
"30/12/2019 20:00:00";5,55;0,73;24,39
"30/12/2019 21:00:00";5,40;0,73;24,40
"30/12/2019 22:00:00";5,22;0,72;24,39
"30/12/2019 23:00:00";5,04;0,73;24,41
"31/12/2019 00:00:00";4,96;0,72;24,42
"31/12/2019 01:00:00";4,77;0,72;24,41
"31/12/2019 02:00:00";4,69;0,71;24,42
"31/12/2019 03:00:00";4,55;0,70;24,42
"31/12/2019 04:00:00";4,43;0,70;24,43
"31/12/2019 05:00:00";4,22;0,69;24,43
"31/12/2019 06:00:00";4,18;0,69;24,40
"31/12/2019 07:00:00";3,62;0,68;24,37
"31/12/2019 08:00:00";3,59;0,67;24,35
"31/12/2019 09:00:00";3,58;0,69;24,36
"31/12/2019 10:00:00";3,68;0,68;24,37
"31/12/2019 11:00:00";3,75;0,69;24,39
"31/12/2019 12:00:00";3,89;0,69;24,41
"31/12/2019 13:00:00";4,09;0,69;24,42
"31/12/2019 14:00:00";4,27;0,68;24,43
"31/12/2019 15:00:00";4,44;0,68;24,40
"31/12/2019 16:00:00";4,58;0,65;24,31
"31/12/2019 17:00:00";4,68;0,64;24,32
"31/12/2019 18:00:00";4,75;0,64;24,31
"31/12/2019 19:00:00";4,81;0,65;24,34
"31/12/2019 20:00:00";4,85;0,65;24,34
"31/12/2019 21:00:00";4,89;0,64;24,41
"31/12/2019 22:00:00";4,93;0,64;24,38
"31/12/2019 23:00:00";4,99;0,65;24,38
"01/01/2020 00:00:00";5,05;0,65;24,39
"01/01/2020 01:00:00";5,10;0,64;24,38
"01/01/2020 02:00:00";5,14;0,64;24,39
"01/01/2020 03:00:00";5,18;0,63;24,37
"01/01/2020 04:00:00";5,26;0,63;24,37
"01/01/2020 05:00:00";5,29;0,63;24,37
"01/01/2020 06:00:00";5,30;0,63;24,37
"01/01/2020 07:00:00";5,34;0,63;24,37
"01/01/2020 08:00:00";5,34;0,64;24,37
"01/01/2020 09:00:00";5,39;0,63;24,38
"01/01/2020 10:00:00";5,45;0,65;24,37
"01/01/2020 11:00:00";5,56;0,64;24,38
"01/01/2020 12:00:00";5,69;0,65;24,39
"01/01/2020 13:00:00";5,80;0,64;24,39
"01/01/2020 14:00:00";5,92;0,64;24,39
"01/01/2020 15:00:00";5,97;0,63;24,38
"01/01/2020 16:00:00";6,00;0,64;24,38
"01/01/2020 17:00:00";6,01;0,64;24,38
"01/01/2020 18:00:00";6,04;0,64;24,36
"01/01/2020 19:00:00";6,05;0,64;24,37
"01/01/2020 20:00:00";6,14;0,64;24,36
"01/01/2020 21:00:00";6,11;0,64;24,35
"01/01/2020 22:00:00";6,13;0,63;24,36
"01/01/2020 23:00:00";6,14;0,64;24,35
"02/01/2020 00:00:00";6,15;0,62;24,36
"02/01/2020 01:00:00";6,18;0,62;24,35
"02/01/2020 02:00:00";6,35;0,63;24,33
"02/01/2020 03:00:00";6,30;0,62;24,32
"02/01/2020 04:00:00";6,32;0,61;24,31
"02/01/2020 05:00:00";6,39;0,61;24,28
"02/01/2020 06:00:00";6,37;0,60;24,31
"02/01/2020 07:00:00";6,36;0,61;24,29
"02/01/2020 08:00:00";6,40;0,60;24,25
"02/01/2020 09:00:00";6,43;0,60;24,24
"02/01/2020 10:00:00";6,49;0,60;24,23
"02/01/2020 11:00:00";6,61;0,60;24,25
"02/01/2020 12:00:00";6,84;0,60;24,11
"02/01/2020 13:00:00";7,22;0,59;24,24
"02/01/2020 14:00:00";7,50;0,59;24,24
"02/01/2020 15:00:00";7,64;0,58;24,25
"02/01/2020 16:00:00";7,76;0,58;24,27
"02/01/2020 17:00:00";7,83;0,58;24,25
"02/01/2020 18:00:00";7,87;0,58;24,26
"02/01/2020 19:00:00";7,96;0,57;24,27
"02/01/2020 20:00:00";8,01;0,58;24,27
"02/01/2020 21:00:00";8,04;0,57;24,37
"02/01/2020 22:00:00";8,06;0,57;24,35
"02/01/2020 23:00:00";8,11;0,56;24,36
"03/01/2020 00:00:00";8,14;0,57;24,36
"03/01/2020 01:00:00";8,19;0,56;24,38
"03/01/2020 02:00:00";8,31;0,55;24,38
"03/01/2020 03:00:00";8,44;0,55;24,34
"03/01/2020 04:00:00";8,53;0,57;24,29
"03/01/2020 05:00:00";8,50;0,57;24,32
"03/01/2020 06:00:00";8,47;0,56;24,32
"03/01/2020 07:00:00";8,44;0,56;24,32
"03/01/2020 08:00:00";8,50;0,58;24,33
"03/01/2020 09:00:00";8,55;0,58;24,33
"03/01/2020 10:00:00";8,62;0,59;24,33
"03/01/2020 11:00:00";8,76;0,60;24,32
"03/01/2020 12:00:00";8,99;0,62;24,28
"03/01/2020 13:00:00";9,06;0,62;24,30
"03/01/2020 14:00:00";9,24;0,62;24,30
"03/01/2020 15:00:00";9,27;0,64;24,30
"03/01/2020 16:00:00";9,29;0,65;24,29
"03/01/2020 17:00:00";9,24;0,66;24,28
"03/01/2020 18:00:00";9,12;0,66;24,29
"03/01/2020 19:00:00";9,02;0,68;24,29
"03/01/2020 20:00:00";8,94;0,68;24,29
"03/01/2020 21:00:00";8,70;0,69;24,30
"03/01/2020 22:00:00";8,42;0,68;24,30
"03/01/2020 23:00:00";8,12;0,69;24,31
"04/01/2020 00:00:00";7,90;0,69;24,30
"04/01/2020 01:00:00";7,63;0,68;24,30
"04/01/2020 02:00:00";7,37;0,67;24,31
"04/01/2020 03:00:00";7,15;0,67;24,31
"04/01/2020 04:00:00";6,86;0,67;24,33
"04/01/2020 05:00:00";6,64;0,66;24,32
"04/01/2020 06:00:00";6,45;0,66;24,31
"04/01/2020 07:00:00";6,21;0,66;24,33
"04/01/2020 08:00:00";6,04;0,66;24,33
"04/01/2020 09:00:00";5,85;0,68;24,32
"04/01/2020 10:00:00";5,76;0,67;24,33
"04/01/2020 11:00:00";6,02;0,66;24,33
"04/01/2020 12:00:00";6,34;0,69;24,35
"04/01/2020 13:00:00";6,58;0,67;24,35
"04/01/2020 14:00:00";6,85;0,67;24,33
"04/01/2020 15:00:00";7,07;0,67;24,33
"04/01/2020 16:00:00";7,21;0,67;24,35
"04/01/2020 17:00:00";7,21;0,68;24,32
"04/01/2020 18:00:00";7,24;0,68;24,33
"04/01/2020 19:00:00";7,24;0,67;24,33
"04/01/2020 20:00:00";7,23;0,68;24,33
"04/01/2020 21:00:00";7,23;0,68;24,33
"04/01/2020 22:00:00";7,22;0,67;24,33
"04/01/2020 23:00:00";7,18;0,67;24,33
"05/01/2020 00:00:00";7,11;0,67;24,33
"05/01/2020 01:00:00";7,13;0,67;24,33
"05/01/2020 02:00:00";7,12;0,65;24,33
"05/01/2020 03:00:00";7,06;0,67;24,34
"05/01/2020 04:00:00";7,01;0,66;24,33
"05/01/2020 05:00:00";7,04;0,65;24,33
"05/01/2020 06:00:00";7,02;0,65;24,32
"05/01/2020 07:00:00";7,01;0,65;24,33
"05/01/2020 08:00:00";7,00;0,64;24,34
"05/01/2020 09:00:00";6,99;0,64;24,33
"05/01/2020 10:00:00";6,96;0,63;24,32
"05/01/2020 11:00:00";7,06;0,63;24,35
"05/01/2020 12:00:00";7,27;0,64;24,37
"05/01/2020 13:00:00";7,49;0,64;24,35
"05/01/2020 14:00:00";7,72;0,63;24,35
"05/01/2020 15:00:00";7,79;0,63;24,39
"05/01/2020 16:00:00";7,78;0,63;24,38
"05/01/2020 17:00:00";7,66;0,62;24,37
"05/01/2020 18:00:00";7,52;0,62;24,39
"05/01/2020 19:00:00";7,38;0,61;24,39
"05/01/2020 20:00:00";7,30;0,60;24,38
"05/01/2020 21:00:00";7,18;0,59;24,38
"05/01/2020 22:00:00";6,99;0,59;24,39
"05/01/2020 23:00:00";6,81;0,57;24,40
"06/01/2020 00:00:00";6,71;0,55;24,40
"06/01/2020 01:00:00";6,65;0,55;24,39
"06/01/2020 02:00:00";6,42;0,55;24,40
"06/01/2020 03:00:00";6,13;0,53;24,40
"06/01/2020 04:00:00";5,78;0,51;24,41
"06/01/2020 05:00:00";5,52;0,50;24,41
"06/01/2020 06:00:00";5,25;0,49;24,42
"06/01/2020 07:00:00";4,97;0,46;24,42
"06/01/2020 08:00:00";4,71;0,46;24,42
"06/01/2020 09:00:00";4,51;0,45;24,41
"06/01/2020 10:00:00";4,28;0,44;24,41
"06/01/2020 11:00:00";4,46;0,43;24,42
"06/01/2020 12:00:00";4,76;0,45;24,43
"06/01/2020 13:00:00";4,88;0,44;24,44
"06/01/2020 14:00:00";5,17;0,43;24,42
"06/01/2020 15:00:00";5,38;0,43;24,42
"06/01/2020 16:00:00";5,58;0,44;24,42
"06/01/2020 17:00:00";5,80;0,45;24,30
"06/01/2020 18:00:00";5,94;0,45;24,26
"06/01/2020 19:00:00";6,18;0,46;24,26
"06/01/2020 20:00:00";6,26;0,47;24,26
"06/01/2020 21:00:00";6,40;0,47;24,29
"06/01/2020 22:00:00";6,48;0,48;24,27
"06/01/2020 23:00:00";6,46;0,48;24,25
"07/01/2020 00:00:00";6,37;0,49;24,26
"07/01/2020 01:00:00";6,22;0,48;24,26
"07/01/2020 02:00:00";6,10;0,49;24,26
"07/01/2020 03:00:00";6,15;0,50;24,26
"07/01/2020 04:00:00";6,17;0,49;24,24
"07/01/2020 05:00:00";6,22;0,49;24,24
"07/01/2020 06:00:00";6,25;0,49;24,24
"07/01/2020 07:00:00";6,26;0,48;24,24
"07/01/2020 08:00:00";6,29;0,49;24,25
"07/01/2020 09:00:00";6,39;0,49;24,26
"07/01/2020 10:00:00";6,54;0,50;24,22
"07/01/2020 11:00:00";7,01;0,51;24,22
"07/01/2020 12:00:00";7,59;0,51;24,18
"07/01/2020 13:00:00";8,20;0,50;24,16
"07/01/2020 14:00:00";8,70;0,51;24,15
"07/01/2020 15:00:00";8,98;0,50;24,11
"07/01/2020 16:00:00";9,31;0,51;24,05
"07/01/2020 17:00:00";9,41;0,50;23,97
"07/01/2020 18:00:00";9,50;0,51;23,89
"07/01/2020 19:00:00";9,62;0,51;23,84
"07/01/2020 20:00:00";9,69;0,51;23,81
"07/01/2020 21:00:00";9,72;0,50;23,76
"07/01/2020 22:00:00";9,74;0,51;23,81
"07/01/2020 23:00:00";9,81;0,52;23,80
"08/01/2020 00:00:00";9,83;0,51;23,84
"08/01/2020 01:00:00";9,84;0,52;23,84
"08/01/2020 02:00:00";9,84;0,51;23,88
"08/01/2020 03:00:00";9,82;0,51;23,89
"08/01/2020 04:00:00";9,86;0,51;23,95
"08/01/2020 05:00:00";9,93;0,50;23,93
"08/01/2020 06:00:00";9,96;0,50;23,96
"08/01/2020 07:00:00";9,97;0,50;23,94
"08/01/2020 08:00:00";9,96;0,51;23,98
"08/01/2020 09:00:00";9,95;0,51;23,98
"08/01/2020 10:00:00";9,93;0,51;23,99
"08/01/2020 11:00:00";9,98;0,51;24,01
"08/01/2020 12:00:00";10,32;0,52;23,99
"08/01/2020 13:00:00";10,61;0,52;23,99
"08/01/2020 14:00:00";10,73;0,50;23,98
"08/01/2020 15:00:00";10,70;0,50;23,98
"08/01/2020 16:00:00";10,77;0,49;23,84
"08/01/2020 17:00:00";10,69;0,49;23,86
"08/01/2020 18:00:00";10,79;0,48;23,79
"08/01/2020 19:00:00";10,81;0,48;23,81
"08/01/2020 20:00:00";10,82;0,48;23,85
"08/01/2020 21:00:00";10,84;0,46;23,87
"08/01/2020 22:00:00";10,80;0,46;23,82
"08/01/2020 23:00:00";10,78;0,44;24,04
"09/01/2020 00:00:00";10,81;0,44;24,05
"09/01/2020 01:00:00";10,77;0,42;24,06
"09/01/2020 02:00:00";10,70;0,42;24,08
"09/01/2020 03:00:00";10,59;0,41;24,09
"09/01/2020 04:00:00";10,49;0,39;24,10
"09/01/2020 05:00:00";10,34;0,38;24,10
"09/01/2020 06:00:00";10,39;0,37;24,10
"09/01/2020 07:00:00";10,41;0,37;24,11
"09/01/2020 08:00:00";10,45;0,36;23,44
"09/01/2020 09:00:00";10,54;0,36;23,29
"09/01/2020 10:00:00";10,61;0,36;23,14
"09/01/2020 11:00:00";11,00;0,35;23,37
"09/01/2020 12:00:00";11,27;0,35;22,98
"09/01/2020 13:00:00";11,49;0,34;22,73
"09/01/2020 14:00:00";11,85;0,33;23,08
"09/01/2020 15:00:00";12,06;0,33;23,16
"09/01/2020 16:00:00";11,77;0,33;23,20
"09/01/2020 17:00:00";11,01;0,32;23,15
"09/01/2020 18:00:00";10,40;0,31;23,15
"09/01/2020 19:00:00";10,06;0,30;23,18
"09/01/2020 20:00:00";9,80;0,29;23,18
"09/01/2020 21:00:00";9,49;0,28;23,17
"09/01/2020 22:00:00";9,46;0,28;23,09
"09/01/2020 23:00:00";9,45;0,29;23,10
"10/01/2020 00:00:00";9,39;0,30;23,10
"10/01/2020 01:00:00";9,21;0,31;22,73
"10/01/2020 02:00:00";8,76;0,33;22,68
"10/01/2020 03:00:00";8,69;0,36;22,81
"10/01/2020 04:00:00";8,60;0,36;22,84
"10/01/2020 05:00:00";8,36;0,37;22,86
"10/01/2020 06:00:00";8,06;0,38;22,84
"10/01/2020 07:00:00";7,85;0,40;22,89
"10/01/2020 08:00:00";7,70;0,41;22,90
"10/01/2020 09:00:00";7,68;0,42;22,90
"10/01/2020 10:00:00";7,62;0,44;22,92
"10/01/2020 11:00:00";7,69;0,44;22,91
"10/01/2020 12:00:00";7,88;0,46;22,90
"10/01/2020 13:00:00";7,99;0,46;22,89
"10/01/2020 14:00:00";8,27;0,46;22,88
"10/01/2020 15:00:00";8,66;0,47;22,88
"10/01/2020 16:00:00";8,73;0,49;22,90
"10/01/2020 17:00:00";8,59;0,47;22,92
"10/01/2020 18:00:00";8,37;0,48;22,95
"10/01/2020 19:00:00";8,07;0,49;22,95
"10/01/2020 20:00:00";7,70;0,48;22,95
"10/01/2020 21:00:00";7,53;0,47;22,94
"10/01/2020 22:00:00";7,71;0,49;22,96
"10/01/2020 23:00:00";7,52;0,49;22,96
"11/01/2020 00:00:00";7,20;0,48;22,99
"11/01/2020 01:00:00";6,72;0,46;23,03
"11/01/2020 02:00:00";6,53;0,46;23,08
"11/01/2020 03:00:00";6,32;0,46;23,10
"11/01/2020 04:00:00";6,09;0,44;23,11
"11/01/2020 05:00:00";5,88;0,44;23,12
"11/01/2020 06:00:00";5,70;0,43;23,14
"11/01/2020 07:00:00";5,73;0,43;23,14
"11/01/2020 08:00:00";6,00;0,42;21,64
"11/01/2020 09:00:00";6,19;0,44;25,68
"11/01/2020 10:00:00";6,25;0,43;23,29
"11/01/2020 11:00:00";6,72;0,43;23,34
"11/01/2020 12:00:00";7,19;0,44;23,43
"11/01/2020 13:00:00";7,82;0,45;23,46
"11/01/2020 14:00:00";8,09;0,44;23,48
"11/01/2020 15:00:00";8,35;0,44;23,58
"11/01/2020 16:00:00";8,42;0,43;23,61
"11/01/2020 17:00:00";8,35;0,43;23,65
"11/01/2020 18:00:00";8,26;0,43;23,67
"11/01/2020 19:00:00";8,19;0,43;23,68
"11/01/2020 20:00:00";8,14;0,41;24,50
"11/01/2020 21:00:00";8,26;0,43;26,68
"11/01/2020 22:00:00";8,10;0,42;25,14
"11/01/2020 23:00:00";7,80;0,40;24,58
"12/01/2020 00:00:00";7,38;0,40;24,51
"12/01/2020 01:00:00";7,41;0,38;24,46
"12/01/2020 02:00:00";7,52;0,38;24,55
"12/01/2020 03:00:00";7,56;0,39;24,54
"12/01/2020 04:00:00";7,64;0,38;24,70
"12/01/2020 05:00:00";7,80;0,38;24,51
"12/01/2020 06:00:00";7,96;0,39;24,50
"12/01/2020 07:00:00";8,11;0,39;24,53
"12/01/2020 08:00:00";8,33;0,39;25,87
"12/01/2020 09:00:00";8,47;0,40;26,46
"12/01/2020 10:00:00";8,80;0,41;27,98
"12/01/2020 11:00:00";9,49;0,44;29,43
"12/01/2020 12:00:00";9,63;0,43;28,80
"12/01/2020 13:00:00";10,40;0,44;30,29
"12/01/2020 14:00:00";10,71;0,44;29,30
"12/01/2020 15:00:00";10,43;0,44;30,47
"12/01/2020 16:00:00";9,89;0,43;30,72
"12/01/2020 17:00:00";9,40;0,43;30,53
"12/01/2020 18:00:00";8,97;0,44;30,42
"12/01/2020 19:00:00";8,78;0,45;29,84
"12/01/2020 20:00:00";8,41;0,45;29,26
"12/01/2020 21:00:00";8,76;0,47;29,95
"12/01/2020 22:00:00";8,59;0,46;30,38
"12/01/2020 23:00:00";8,43;0,46;30,42
"13/01/2020 00:00:00";8,29;0,46;30,21
"13/01/2020 01:00:00";8,22;0,47;30,35
"13/01/2020 02:00:00";8,06;0,46;30,52
"13/01/2020 03:00:00";7,97;0,45;30,33
"13/01/2020 04:00:00";7,54;0,42;29,71
"13/01/2020 05:00:00";7,46;0,43;29,44
"13/01/2020 06:00:00";7,37;0,40;28,88
"13/01/2020 07:00:00";7,09;0,40;29,02
"13/01/2020 08:00:00";7,06;0,39;28,72
"13/01/2020 09:00:00";7,11;0,39;27,11
"13/01/2020 10:00:00";7,45;0,38;27,30
"13/01/2020 11:00:00";7,52;0,36;26,23
"13/01/2020 12:00:00";8,01;0,36;26,62
"13/01/2020 13:00:00";8,39;0,35;26,11
"13/01/2020 14:00:00";8,73;0,34;26,15
"13/01/2020 15:00:00";9,01;0,33;26,04
"13/01/2020 16:00:00";9,18;0,32;26,43
"13/01/2020 17:00:00";9,27;0,30;25,98
"13/01/2020 18:00:00";9,32;0,31;26,51
"13/01/2020 19:00:00";9,36;0,31;26,00
"13/01/2020 20:00:00";9,43;0,29;25,80
"13/01/2020 21:00:00";9,49;0,31;25,59
"13/01/2020 22:00:00";9,53;0,30;25,89
"13/01/2020 23:00:00";9,55;0,31;25,84
"14/01/2020 00:00:00";9,60;0,31;25,51
"14/01/2020 01:00:00";9,65;0,32;25,42
"14/01/2020 02:00:00";9,72;0,31;25,29
"14/01/2020 03:00:00";9,59;0,32;25,65
"14/01/2020 04:00:00";9,38;0,33;25,65
"14/01/2020 05:00:00";9,26;0,33;24,98
"14/01/2020 06:00:00";9,16;0,33;24,96
"14/01/2020 07:00:00";9,18;0,34;24,10
"14/01/2020 08:00:00";9,21;0,34;23,07
"14/01/2020 09:00:00";9,28;0,35;22,83
"14/01/2020 10:00:00";9,35;0,34;21,18
"14/01/2020 11:00:00";9,56;0,36;20,60
"14/01/2020 12:00:00";9,88;0,36;21,74
"14/01/2020 13:00:00";10,25;0,36;23,36
"14/01/2020 14:00:00";10,53;0,36;23,49
"14/01/2020 15:00:00";10,66;0,38;23,54
"14/01/2020 16:00:00";10,71;0,37;23,60
"14/01/2020 17:00:00";10,72;0,38;23,64
"14/01/2020 18:00:00";10,69;0,39;23,68
"14/01/2020 19:00:00";10,64;0,41;23,71
"14/01/2020 20:00:00";10,54;0,41;23,79
"14/01/2020 21:00:00";10,46;0,42;23,73
"14/01/2020 22:00:00";10,37;0,42;23,98
"14/01/2020 23:00:00";10,26;0,42;24,23
"15/01/2020 00:00:00";10,14;0,42;24,20
"15/01/2020 01:00:00";10,03;0,42;24,17
"15/01/2020 02:00:00";9,93;0,41;24,28
"15/01/2020 03:00:00";9,80;0,42;24,30
"15/01/2020 04:00:00";9,78;0,41;24,16
"15/01/2020 05:00:00";9,72;0,41;24,24
"15/01/2020 06:00:00";9,67;0,41;24,28
"15/01/2020 07:00:00";9,57;0,42;24,32
"15/01/2020 08:00:00";9,57;0,43;24,17
"15/01/2020 09:00:00";9,56;0,43;24,08
"15/01/2020 10:00:00";9,54;0,46;24,04
"15/01/2020 11:00:00";9,40;0,46;24,49
"15/01/2020 12:00:00";9,57;0,51;24,78
"15/01/2020 13:00:00";9,69;0,52;25,01
"15/01/2020 14:00:00";9,80;0,54;24,70
"15/01/2020 15:00:00";10,11;0,56;24,40
"15/01/2020 16:00:00";9,87;0,56;24,11
"15/01/2020 17:00:00";9,23;0,57;23,72
"15/01/2020 18:00:00";8,73;0,57;24,39
"15/01/2020 19:00:00";8,96;0,59;24,77
"15/01/2020 20:00:00";8,63;0,58;24,38
"15/01/2020 21:00:00";7,53;0,58;23,38
"15/01/2020 22:00:00";7,40;0,58;23,34
"15/01/2020 23:00:00";7,82;0,60;23,68
"16/01/2020 00:00:00";7,74;0,60;23,92
"16/01/2020 01:00:00";7,63;0,60;24,32
"16/01/2020 02:00:00";7,40;0,60;24,17
"16/01/2020 03:00:00";7,24;0,60;24,47
"16/01/2020 04:00:00";7,05;0,60;25,01
"16/01/2020 05:00:00";6,77;0,59;24,55
"16/01/2020 06:00:00";6,53;0,58;24,14
"16/01/2020 07:00:00";6,60;0,57;23,40
"16/01/2020 08:00:00";6,61;0,56;23,66
"16/01/2020 09:00:00";6,56;0,56;23,59
"16/01/2020 10:00:00";6,62;0,56;23,18
"16/01/2020 11:00:00";6,97;0,55;23,33
"16/01/2020 12:00:00";7,60;0,56;23,49
"16/01/2020 13:00:00";8,16;0,54;23,53
"16/01/2020 14:00:00";8,80;0,56;23,57
"16/01/2020 15:00:00";9,13;0,55;23,59
"16/01/2020 16:00:00";9,29;0,57;23,64
"16/01/2020 17:00:00";9,35;0,56;23,60
"16/01/2020 18:00:00";9,40;0,56;23,62
"16/01/2020 19:00:00";9,47;0,55;23,65
"16/01/2020 20:00:00";9,48;0,56;23,59
"16/01/2020 21:00:00";9,49;0,57;23,55
"16/01/2020 22:00:00";9,50;0,57;23,41
"16/01/2020 23:00:00";9,52;0,57;23,38
"17/01/2020 00:00:00";9,56;0,56;23,33
"17/01/2020 01:00:00";9,58;0,58;23,15
"17/01/2020 02:00:00";9,54;0,57;22,41
"17/01/2020 03:00:00";9,51;0,58;22,57
"17/01/2020 04:00:00";9,33;0,58;22,72
"17/01/2020 05:00:00";9,28;0,58;22,54
"17/01/2020 06:00:00";9,21;0,58;22,65
"17/01/2020 07:00:00";8,98;0,59;22,65
"17/01/2020 08:00:00";8,79;0,60;22,66
"17/01/2020 09:00:00";8,67;0,60;22,75
"17/01/2020 10:00:00";8,54;0,61;22,92
"17/01/2020 11:00:00";8,70;0,63;22,96
"17/01/2020 12:00:00";8,82;0,65;22,98
"17/01/2020 13:00:00";8,73;0,65;22,81
"17/01/2020 14:00:00";8,83;0,64;22,86
"17/01/2020 15:00:00";8,95;0,65;22,95
"17/01/2020 16:00:00";8,82;0,66;22,84
