"STPSxx-SPCT Inductif_31032_20200131_143514.csv"
"Claire Maxime"
"sn :";31032
"Cadence d'enregistrement :";"3600 s"

Date;"Température (-5 +35°C) (øC)";"Profondeur 30m (m)";"Salinité (g/l)"
"26/12/2019 16:00:00";8,82;0,72;24,60
"26/12/2019 17:00:00";8,86;0,72;24,49
"26/12/2019 18:00:00";8,94;0,72;24,49
"26/12/2019 19:00:00";9,02;0,73;24,45
"26/12/2019 20:00:00";9,13;0,73;24,87
"26/12/2019 21:00:00";9,27;0,73;24,86
"26/12/2019 22:00:00";9,37;0,74;24,71
"26/12/2019 23:00:00";9,50;0,74;24,65
"27/12/2019 00:00:00";9,63;0,75;24,68
"27/12/2019 01:00:00";9,73;0,74;24,66
"27/12/2019 02:00:00";9,76;0,78;24,64
"27/12/2019 03:00:00";9,77;0,78;24,61
"27/12/2019 04:00:00";9,70;0,78;24,59
"27/12/2019 05:00:00";9,61;0,79;24,64
"27/12/2019 06:00:00";9,62;0,80;24,58
"27/12/2019 07:00:00";9,68;0,80;24,58
"27/12/2019 08:00:00";9,81;0,81;24,62
"27/12/2019 09:00:00";9,86;0,82;24,60
"27/12/2019 10:00:00";9,90;0,83;24,71
"27/12/2019 11:00:00";9,96;0,84;24,73
"27/12/2019 12:00:00";10,04;0,85;24,69
"27/12/2019 13:00:00";10,25;0,85;24,86
"27/12/2019 14:00:00";10,44;0,85;24,94
"27/12/2019 15:00:00";10,60;0,87;24,95
"27/12/2019 16:00:00";10,59;0,86;24,90
"27/12/2019 17:00:00";10,53;0,87;24,81
"27/12/2019 18:00:00";10,47;0,87;24,73
"27/12/2019 19:00:00";10,41;0,87;24,64
"27/12/2019 20:00:00";10,35;0,88;24,60
"27/12/2019 21:00:00";10,30;0,89;24,71
"27/12/2019 22:00:00";10,27;0,89;24,79
"27/12/2019 23:00:00";10,23;0,89;24,75
"28/12/2019 00:00:00";10,17;0,90;24,68
"28/12/2019 01:00:00";10,10;0,90;24,60
"28/12/2019 02:00:00";10,12;0,91;24,63
"28/12/2019 03:00:00";10,12;0,90;24,63
"28/12/2019 04:00:00";10,13;0,90;24,66
