"STPSxx-SPCT Inductif_31032_20200512_102507.csv"
"Claire Maxime"
"sn :";31032
"Cadence d'enregistrement :";"3600 s"

Date;"Température (-5 +35°C) (øC)";"Profondeur 30m (m)";"Salinité (g/l)"
"11/05/2020 09:00:00";12,96;0,57;23,57
"11/05/2020 10:00:00";12,64;0,59;23,60
"11/05/2020 11:00:00";12,42;0,59;23,60
"11/05/2020 12:00:00";12,59;0,59;23,62
"11/05/2020 13:00:00";12,95;0,60;23,65
"11/05/2020 14:00:00";13,40;0,62;23,65
"11/05/2020 15:00:00";13,85;0,63;23,74
"11/05/2020 16:00:00";14,35;0,64;22,85
"11/05/2020 17:00:00";14,76;0,64;23,82
"11/05/2020 18:00:00";15,08;0,65;23,87
"11/05/2020 19:00:00";15,23;0,66;23,87
"11/05/2020 20:00:00";14,81;0,67;23,93
"11/05/2020 21:00:00";14,27;0,67;23,17
"11/05/2020 22:00:00";13,80;0,66;24,06
"11/05/2020 23:00:00";13,29;0,66;24,07
"12/05/2020 00:00:00";13,06;0,68;23,87
"12/05/2020 01:00:00";12,70;0,67;24,05
"12/05/2020 02:00:00";12,29;0,66;24,10
"12/05/2020 03:00:00";12,04;0,65;24,11
"12/05/2020 04:00:00";11,98;0,66;24,11
"12/05/2020 05:00:00";11,82;0,66;24,11
"12/05/2020 06:00:00";11,60;0,65;24,11
"12/05/2020 07:00:00";11,39;0,65;24,10
"12/05/2020 08:00:00";11,30;0,65;24,10
"12/05/2020 09:00:00";11,45;0,65;23,50
"12/05/2020 10:00:00";10,02;0,39;0,01
