"STPSxx-SPCT Inductif_31029_20190405_112101.csv"
"Claire Julien Lafosse"
"sn :";31029
"Cadence d'enregistrement :";"3600 s"

Date;"Température (-5 +35°C) (øC)";"Profondeur 30m (m)";"Conductivité (g/l)"
"08/03/2019 16:00:00";10,65;0,66;29,74
"08/03/2019 17:00:00";10,75;0,66;29,65
"08/03/2019 18:00:00";10,77;0,69;29,50
"08/03/2019 19:00:00";10,70;0,74;29,88
"08/03/2019 20:00:00";9,74;1,01;32,17
"08/03/2019 21:00:00";9,65;1,13;32,22
"08/03/2019 22:00:00";9,63;1,14;32,25
"08/03/2019 23:00:00";9,70;1,15;32,29
"09/03/2019 00:00:00";9,74;1,15;32,31
"09/03/2019 01:00:00";9,77;1,17;32,32
"09/03/2019 02:00:00";9,79;1,18;32,31
"09/03/2019 03:00:00";9,81;1,18;32,32
"09/03/2019 04:00:00";9,83;1,18;32,31
"09/03/2019 05:00:00";9,85;1,20;32,31
"09/03/2019 06:00:00";9,87;1,21;32,31
"09/03/2019 07:00:00";9,88;1,22;32,32
"09/03/2019 08:00:00";9,89;1,21;32,31
"09/03/2019 09:00:00";9,91;1,21;32,30
"09/03/2019 10:00:00";9,93;1,23;32,28
"09/03/2019 11:00:00";9,98;1,24;32,26
"09/03/2019 12:00:00";10,03;1,26;32,28
"09/03/2019 13:00:00";10,09;1,26;32,28
"09/03/2019 14:00:00";10,24;1,27;32,28
"09/03/2019 15:00:00";10,38;1,27;32,28
"09/03/2019 16:00:00";10,47;1,26;32,28
"09/03/2019 17:00:00";10,52;1,26;32,28
"09/03/2019 18:00:00";10,53;1,27;32,29
"09/03/2019 19:00:00";10,56;1,26;32,28
"09/03/2019 20:00:00";10,57;1,25;32,29
"09/03/2019 21:00:00";10,56;1,25;32,29
"09/03/2019 22:00:00";10,57;1,23;32,29
"09/03/2019 23:00:00";10,58;1,24;32,29
"10/03/2019 00:00:00";10,60;1,22;32,28
"10/03/2019 01:00:00";10,60;1,20;32,27
"10/03/2019 02:00:00";10,60;1,20;32,27
"10/03/2019 03:00:00";10,60;1,17;32,27
"10/03/2019 04:00:00";10,60;1,18;32,25
"10/03/2019 05:00:00";10,58;1,17;32,24
"10/03/2019 06:00:00";10,58;1,18;32,24
"10/03/2019 07:00:00";10,58;1,18;32,22
"10/03/2019 08:00:00";10,58;1,21;32,20
"10/03/2019 09:00:00";10,58;1,23;32,19
"10/03/2019 10:00:00";10,59;1,24;32,18
"10/03/2019 11:00:00";10,62;1,26;32,16
"10/03/2019 12:00:00";10,67;1,28;32,14
"10/03/2019 13:00:00";10,76;1,29;32,12
"10/03/2019 14:00:00";10,92;1,30;32,08
"10/03/2019 15:00:00";11,08;1,32;32,08
"10/03/2019 16:00:00";11,27;1,32;32,06
"10/03/2019 17:00:00";11,47;1,33;32,07
"10/03/2019 18:00:00";11,50;1,33;32,09
"10/03/2019 19:00:00";11,51;1,34;32,09
"10/03/2019 20:00:00";11,48;1,33;32,09
"10/03/2019 21:00:00";11,45;1,34;32,09
"10/03/2019 22:00:00";11,45;1,33;32,09
"10/03/2019 23:00:00";11,44;1,34;32,10
"11/03/2019 00:00:00";11,40;1,35;32,08
"11/03/2019 01:00:00";11,36;1,34;32,05
"11/03/2019 02:00:00";11,31;1,34;32,02
"11/03/2019 03:00:00";11,26;1,34;32,01
"11/03/2019 04:00:00";11,21;1,34;31,98
"11/03/2019 05:00:00";11,16;1,34;31,96
"11/03/2019 06:00:00";11,12;1,35;31,93
"11/03/2019 07:00:00";11,08;1,36;31,91
"11/03/2019 08:00:00";11,04;1,36;31,89
"11/03/2019 09:00:00";11,00;1,37;31,84
"11/03/2019 10:00:00";10,97;1,37;31,82
"11/03/2019 11:00:00";10,96;1,38;31,78
"11/03/2019 12:00:00";10,98;1,37;31,76
"11/03/2019 13:00:00";11,09;1,38;31,71
"11/03/2019 14:00:00";11,21;1,37;31,64
"11/03/2019 15:00:00";11,41;1,38;31,61
"11/03/2019 16:00:00";11,58;1,36;31,60
"11/03/2019 17:00:00";11,65;1,36;31,60
"11/03/2019 18:00:00";11,65;1,35;31,58
"11/03/2019 19:00:00";11,64;1,34;31,55
"11/03/2019 20:00:00";11,63;1,33;31,55
"11/03/2019 21:00:00";11,61;1,32;31,54
"11/03/2019 22:00:00";11,58;1,32;31,54
"11/03/2019 23:00:00";11,56;1,30;31,53
"12/03/2019 00:00:00";11,48;1,29;31,48
"12/03/2019 01:00:00";11,40;1,28;31,48
"12/03/2019 02:00:00";11,35;1,27;31,44
"12/03/2019 03:00:00";11,27;1,24;31,42
"12/03/2019 04:00:00";11,11;1,24;31,36
"12/03/2019 05:00:00";10,90;1,21;31,29
"12/03/2019 06:00:00";10,65;1,20;31,20
"12/03/2019 07:00:00";10,44;1,16;31,14
"12/03/2019 08:00:00";10,12;1,15;30,99
"12/03/2019 09:00:00";9,64;1,13;30,46
"12/03/2019 10:00:00";9,40;1,12;30,02
"12/03/2019 11:00:00";9,05;1,10;29,30
"12/03/2019 12:00:00";8,94;1,09;29,29
"12/03/2019 13:00:00";9,19;1,08;29,29
"12/03/2019 14:00:00";9,41;1,05;29,31
"12/03/2019 15:00:00";9,49;1,06;29,29
"12/03/2019 16:00:00";9,62;1,10;29,40
"12/03/2019 17:00:00";9,72;1,10;29,53
