"STPSxx-SPCT Inductif_31029_20181109_141227.csv"
"Claire Julien Lafosse"
"sn :";31029
"Cadence d'enregistrement :";"3600 s"

Date;"Température (-5 +35°C) (øC)";"Profondeur 30m (m)";"Conductivité (g/l)"
"08/10/2018 11:00:00";12,89;1,01;35,58
"08/10/2018 12:00:00";13,08;1,03;35,61
"08/10/2018 13:00:00";13,37;1,01;35,56
"08/10/2018 14:00:00";13,83;1,00;35,55
"08/10/2018 15:00:00";14,27;1,00;35,55
"08/10/2018 16:00:00";14,62;0,99;35,54
"08/10/2018 17:00:00";14,87;0,99;35,53
"08/10/2018 18:00:00";15,03;0,98;35,53
"08/10/2018 19:00:00";15,06;0,99;35,53
"08/10/2018 20:00:00";14,99;1,00;35,55
"08/10/2018 21:00:00";14,90;1,00;35,50
"08/10/2018 22:00:00";14,87;1,00;35,58
"08/10/2018 23:00:00";14,76;1,01;35,58
"09/10/2018 00:00:00";14,65;1,01;35,56
"09/10/2018 01:00:00";14,41;1,01;35,59
"09/10/2018 02:00:00";14,29;1,01;35,58
"09/10/2018 03:00:00";14,14;1,00;35,58
"09/10/2018 04:00:00";14,11;1,01;35,55
"09/10/2018 05:00:00";13,87;1,01;35,53
"09/10/2018 06:00:00";13,68;1,01;35,56
"09/10/2018 07:00:00";13,60;1,02;35,54
"09/10/2018 08:00:00";13,42;1,02;35,56
"09/10/2018 09:00:00";13,32;1,02;35,61
"09/10/2018 10:00:00";13,44;1,03;35,62
"09/10/2018 11:00:00";14,12;1,00;35,34
"09/10/2018 12:00:00";14,24;1,11;35,42
"09/10/2018 13:00:00";13,92;1,16;35,60
"09/10/2018 14:00:00";14,23;1,13;35,61
"09/10/2018 15:00:00";14,73;1,12;35,58
"09/10/2018 16:00:00";15,12;1,11;35,57
"09/10/2018 17:00:00";15,35;1,10;35,55
"09/10/2018 18:00:00";15,51;1,09;35,54
"09/10/2018 19:00:00";15,53;1,09;35,53
"09/10/2018 20:00:00";15,53;1,09;35,55
"09/10/2018 21:00:00";15,44;1,09;35,56
"09/10/2018 22:00:00";15,45;1,12;35,53
"09/10/2018 23:00:00";15,43;1,10;35,55
"10/10/2018 00:00:00";15,45;1,10;35,50
"10/10/2018 01:00:00";15,43;1,08;35,42
"10/10/2018 02:00:00";15,32;1,08;35,38
"10/10/2018 03:00:00";15,27;1,05;35,37
"10/10/2018 04:00:00";15,19;1,05;35,38
"10/10/2018 05:00:00";15,10;1,03;35,40
"10/10/2018 06:00:00";15,02;1,03;35,39
"10/10/2018 07:00:00";14,93;1,02;35,40
"10/10/2018 08:00:00";14,90;1,02;35,37
"10/10/2018 09:00:00";14,79;1,02;35,41
"10/10/2018 10:00:00";14,90;1,04;35,38
"10/10/2018 11:00:00";15,04;1,04;35,34
"10/10/2018 12:00:00";15,38;1,03;35,32
"10/10/2018 13:00:00";15,91;1,01;35,32
"10/10/2018 14:00:00";16,40;0,99;35,34
"10/10/2018 15:00:00";16,87;0,98;35,34
"10/10/2018 16:00:00";17,44;0,94;35,38
"10/10/2018 17:00:00";17,57;0,93;35,36
"10/10/2018 18:00:00";17,59;0,92;35,38
"10/10/2018 19:00:00";17,50;0,91;35,31
"10/10/2018 20:00:00";17,50;0,92;35,30
"10/10/2018 21:00:00";17,34;1,00;34,91
