"STPSxx-SPCT Inductif_35007_20200414_154132.csv"
"Bassin Julien"
"sn :";35007
"Cadence d'enregistrement :";"3600 s"

Date;"Température (-5 +35°C) (°C)";"Profondeur 30m (m)";"Salinité (g/l)"
"13/04/2020 11:00:00";15,97;0,66;27,17
"13/04/2020 12:00:00";16,03;0,67;27,14
"13/04/2020 13:00:00";16,39;0,67;27,15
"13/04/2020 14:00:00";16,80;0,67;27,19
"13/04/2020 15:00:00";16,97;0,67;27,20
"13/04/2020 16:00:00";17,06;0,67;27,23
"13/04/2020 17:00:00";16,87;0,67;27,23
"13/04/2020 18:00:00";16,42;0,68;27,25
"13/04/2020 19:00:00";15,84;0,69;27,27
"13/04/2020 20:00:00";15,22;0,69;27,27
"13/04/2020 21:00:00";14,42;0,70;27,30
"13/04/2020 22:00:00";13,85;0,70;27,30
"13/04/2020 23:00:00";13,23;0,71;27,32
"14/04/2020 00:00:00";12,73;0,71;27,32
"14/04/2020 01:00:00";12,38;0,72;27,32
"14/04/2020 02:00:00";11,96;0,72;27,32
"14/04/2020 03:00:00";11,57;0,72;27,34
"14/04/2020 04:00:00";11,21;0,72;27,35
"14/04/2020 05:00:00";10,81;0,73;27,35
"14/04/2020 06:00:00";10,50;0,74;27,35
"14/04/2020 07:00:00";10,27;0,74;27,37
"14/04/2020 08:00:00";10,10;0,74;27,37
"14/04/2020 09:00:00";10,22;0,74;27,38
"14/04/2020 10:00:00";10,60;0,74;27,41
"14/04/2020 11:00:00";11,28;0,74;27,41
"14/04/2020 12:00:00";11,86;0,73;27,41
"14/04/2020 13:00:00";12,27;0,72;27,42
"14/04/2020 14:00:00";12,80;0,72;27,46
