"STPSxx-SPCT Inductif_31029_20190507_093827.csv"
"Claire Julien Lafosse"
"sn :";31029
"Cadence d'enregistrement :";"3600 s"

Date;"Température (-5 +35°C) (øC)";"Profondeur 30m (m)";"Conductivité (g/l)"
"10/04/2019 11:00:00";12,99;0,87;33,13
"10/04/2019 12:00:00";13,01;0,88;33,13
"10/04/2019 13:00:00";13,03;0,86;33,12
"10/04/2019 14:00:00";13,04;0,87;33,12
"10/04/2019 15:00:00";13,06;0,87;33,10
"10/04/2019 16:00:00";13,11;0,86;33,08
"10/04/2019 17:00:00";13,17;0,86;33,08
"10/04/2019 18:00:00";13,25;0,84;33,07
"10/04/2019 19:00:00";13,35;0,84;33,04
"10/04/2019 20:00:00";13,40;0,84;33,03
"10/04/2019 21:00:00";13,44;0,85;33,02
"10/04/2019 22:00:00";13,46;0,86;33,01
"10/04/2019 23:00:00";13,42;0,87;33,05
"11/04/2019 00:00:00";13,38;0,87;33,07
"11/04/2019 01:00:00";13,34;0,88;33,06
"11/04/2019 02:00:00";13,29;0,89;33,10
"11/04/2019 03:00:00";13,19;0,89;33,10
"11/04/2019 04:00:00";13,14;0,89;33,11
"11/04/2019 05:00:00";13,09;0,89;33,13
"11/04/2019 06:00:00";13,03;0,90;33,14
"11/04/2019 07:00:00";12,92;0,90;33,15
"11/04/2019 08:00:00";12,82;0,91;33,18
"11/04/2019 09:00:00";12,78;0,91;33,19
"11/04/2019 10:00:00";12,74;0,91;33,18
"11/04/2019 11:00:00";12,70;0,92;33,19
"11/04/2019 12:00:00";12,66;0,92;33,21
"11/04/2019 13:00:00";12,70;0,91;33,17
"11/04/2019 14:00:00";12,84;0,89;33,16
"11/04/2019 15:00:00";13,00;0,90;33,14
"11/04/2019 16:00:00";13,12;0,88;33,14
"11/04/2019 17:00:00";13,19;0,88;33,13
"11/04/2019 18:00:00";13,23;0,87;33,12
"11/04/2019 19:00:00";13,25;0,86;33,09
"11/04/2019 20:00:00";13,27;0,85;33,08
"11/04/2019 21:00:00";13,31;0,85;33,06
"11/04/2019 22:00:00";13,29;0,86;33,07
"11/04/2019 23:00:00";13,23;0,87;33,07
"12/04/2019 00:00:00";13,15;0,87;33,06
"12/04/2019 01:00:00";13,07;0,87;33,05
"12/04/2019 02:00:00";13,00;0,88;33,06
"12/04/2019 03:00:00";12,90;0,88;33,07
"12/04/2019 04:00:00";12,82;0,88;33,09
"12/04/2019 05:00:00";12,76;0,89;33,10
"12/04/2019 06:00:00";12,73;0,88;33,16
"12/04/2019 07:00:00";12,63;0,88;33,17
"12/04/2019 08:00:00";12,51;0,89;33,20
"12/04/2019 09:00:00";12,38;0,89;33,16
"12/04/2019 10:00:00";12,38;0,89;33,14
"12/04/2019 11:00:00";12,31;0,90;33,15
"12/04/2019 12:00:00";12,28;0,89;33,14
"12/04/2019 13:00:00";12,29;0,88;33,12
"12/04/2019 14:00:00";12,34;0,87;33,09
"12/04/2019 15:00:00";12,43;0,86;33,04
"12/04/2019 16:00:00";12,51;0,85;33,03
"12/04/2019 17:00:00";12,56;0,84;32,98
"12/04/2019 18:00:00";12,56;0,84;32,95
"12/04/2019 19:00:00";12,51;0,81;32,92
"12/04/2019 20:00:00";12,45;0,82;32,87
"12/04/2019 21:00:00";12,37;0,82;32,85
"12/04/2019 22:00:00";12,28;0,82;32,84
