"STPSxx-SPCT Inductif_31031_20200406_154423.csv"
"Claire Julien"
"sn :";31031
"Cadence d'enregistrement :";"3600 s"

Date;"Température (-5 +35°C) (°C)";"Profondeur 30m (m)";"Salinité (g/l)"
"28/02/2020 11:00:00";6,97;0,89;27,97
"28/02/2020 12:00:00";6,95;0,90;28,07
"28/02/2020 13:00:00";7,18;0,90;28,07
"28/02/2020 14:00:00";7,36;0,89;28,06
"28/02/2020 15:00:00";7,56;0,88;28,06
"28/02/2020 16:00:00";7,74;0,88;28,04
"28/02/2020 17:00:00";7,93;0,88;28,04
"28/02/2020 18:00:00";8,07;0,87;28,03
"28/02/2020 19:00:00";8,17;0,87;28,03
"28/02/2020 20:00:00";8,21;0,87;28,03
"28/02/2020 21:00:00";8,27;0,86;28,03
"28/02/2020 22:00:00";8,33;0,86;28,03
"28/02/2020 23:00:00";8,41;0,85;28,03
"29/02/2020 00:00:00";8,46;0,82;28,02
"29/02/2020 01:00:00";8,42;0,82;28,02
"29/02/2020 02:00:00";8,39;0,80;28,02
"29/02/2020 03:00:00";8,36;0,79;28,01
"29/02/2020 04:00:00";8,31;0,76;28,03
"29/02/2020 05:00:00";8,27;0,75;28,04
"29/02/2020 06:00:00";8,23;0,71;28,03
"29/02/2020 07:00:00";8,22;0,69;27,94
"29/02/2020 08:00:00";8,27;0,70;27,77
"29/02/2020 09:00:00";8,16;0,74;27,76
"29/02/2020 10:00:00";8,14;0,75;27,74
"29/02/2020 11:00:00";8,19;0,76;27,71
"29/02/2020 12:00:00";8,36;0,78;27,72
"29/02/2020 13:00:00";8,59;0,79;27,70
"29/02/2020 14:00:00";8,94;0,79;27,72
"29/02/2020 15:00:00";9,25;0,80;27,71
"29/02/2020 16:00:00";9,15;0,81;27,66
"29/02/2020 17:00:00";9,11;0,81;27,67
"29/02/2020 18:00:00";8,92;0,81;27,69
"29/02/2020 19:00:00";8,64;0,80;27,67
"29/02/2020 20:00:00";8,46;0,79;27,68
"29/02/2020 21:00:00";8,21;0,80;27,68
"29/02/2020 22:00:00";7,96;0,78;27,68
"29/02/2020 23:00:00";7,82;0,79;27,69
"01/03/2020 00:00:00";7,67;0,79;27,69
"01/03/2020 01:00:00";7,49;0,79;27,68
"01/03/2020 02:00:00";7,33;0,78;27,66
"01/03/2020 03:00:00";7,21;0,79;27,69
"01/03/2020 04:00:00";7,04;0,79;27,70
"01/03/2020 05:00:00";6,95;0,78;27,70
"01/03/2020 06:00:00";6,82;0,77;27,70
"01/03/2020 07:00:00";6,70;0,77;27,70
"01/03/2020 08:00:00";6,58;0,76;27,70
"01/03/2020 09:00:00";6,54;0,75;27,70
"01/03/2020 10:00:00";6,65;0,76;27,70
"01/03/2020 11:00:00";6,81;0,75;27,71
"01/03/2020 12:00:00";7,03;0,76;27,70
"01/03/2020 13:00:00";7,29;0,77;27,71
"01/03/2020 14:00:00";7,95;0,79;27,74
"01/03/2020 15:00:00";8,24;0,78;27,74
"01/03/2020 16:00:00";8,65;0,79;27,72
"01/03/2020 17:00:00";8,63;0,79;27,71
"01/03/2020 18:00:00";8,55;0,78;27,72
"01/03/2020 19:00:00";8,40;0,79;27,71
"01/03/2020 20:00:00";8,28;0,76;27,71
"01/03/2020 21:00:00";8,18;0,77;27,70
"01/03/2020 22:00:00";8,11;0,75;27,71
"01/03/2020 23:00:00";7,96;0,72;27,53
"02/03/2020 00:00:00";7,95;0,72;27,58
"02/03/2020 01:00:00";7,90;0,71;27,60
"02/03/2020 02:00:00";7,85;0,70;27,60
"02/03/2020 03:00:00";7,83;0,68;27,60
"02/03/2020 04:00:00";7,80;0,69;27,60
"02/03/2020 05:00:00";7,77;0,68;27,60
"02/03/2020 06:00:00";7,72;0,69;27,58
"02/03/2020 07:00:00";7,67;0,69;27,58
"02/03/2020 08:00:00";7,61;0,70;27,57
"02/03/2020 09:00:00";7,57;0,69;27,58
"02/03/2020 10:00:00";7,66;0,71;27,56
"02/03/2020 11:00:00";7,77;0,75;27,57
"02/03/2020 12:00:00";7,93;0,76;27,57
"02/03/2020 13:00:00";8,24;0,78;27,54
"02/03/2020 14:00:00";8,73;0,80;27,55
"02/03/2020 15:00:00";9,15;0,82;27,56
"02/03/2020 16:00:00";9,32;0,82;27,55
"02/03/2020 17:00:00";9,38;0,85;27,54
"02/03/2020 18:00:00";9,23;0,83;27,53
"02/03/2020 19:00:00";8,99;0,85;27,55
"02/03/2020 20:00:00";8,74;0,87;27,56
"02/03/2020 21:00:00";8,54;0,85;27,56
"02/03/2020 22:00:00";8,32;0,85;27,53
"02/03/2020 23:00:00";8,03;0,85;27,53
"03/03/2020 00:00:00";7,75;0,86;27,51
"03/03/2020 01:00:00";7,56;0,86;27,48
"03/03/2020 02:00:00";7,42;0,86;27,49
"03/03/2020 03:00:00";7,21;0,86;27,43
"03/03/2020 04:00:00";7,06;0,83;27,41
"03/03/2020 05:00:00";6,93;0,85;27,38
"03/03/2020 06:00:00";6,80;0,85;27,40
"03/03/2020 07:00:00";6,71;0,85;27,40
"03/03/2020 08:00:00";6,67;0,83;27,40
"03/03/2020 09:00:00";6,62;0,82;27,40
"03/03/2020 10:00:00";6,67;0,85;27,41
"03/03/2020 11:00:00";6,73;0,85;27,41
"03/03/2020 12:00:00";6,95;0,88;27,41
"03/03/2020 13:00:00";7,28;0,88;27,41
"03/03/2020 14:00:00";7,50;0,89;27,40
"03/03/2020 15:00:00";7,60;0,90;27,34
"03/03/2020 16:00:00";7,94;0,92;27,35
