"STPSxx-SPCT Inductif_31029_20190702_095427.csv"
"Claire Julien Lafosse"
"sn :";31029
"Cadence d'enregistrement :";"3600 s"

Date;"Température (-5 +35°C) (øC)";"Profondeur 30m (m)";"Conductivité (g/l)"
"03/06/2019 15:00:00";21,44;0,59;38,20
"03/06/2019 16:00:00";21,58;0,57;38,23
"03/06/2019 17:00:00";21,75;0,56;38,27
"03/06/2019 18:00:00";21,88;0,56;38,27
"03/06/2019 19:00:00";22,02;0,54;38,28
"03/06/2019 20:00:00";22,12;0,55;38,24
"03/06/2019 21:00:00";22,27;0,54;38,30
"03/06/2019 22:00:00";22,46;0,54;38,29
"03/06/2019 23:00:00";22,30;0,55;38,28
"04/06/2019 00:00:00";22,20;0,55;38,29
"04/06/2019 01:00:00";22,11;0,53;38,25
"04/06/2019 02:00:00";21,99;0,53;38,25
"04/06/2019 03:00:00";21,86;0,52;38,25
"04/06/2019 04:00:00";21,67;0,53;38,23
"04/06/2019 05:00:00";21,49;0,53;38,22
"04/06/2019 06:00:00";21,26;0,54;38,22
"04/06/2019 07:00:00";21,07;0,53;38,20
"04/06/2019 08:00:00";20,86;0,53;38,18
"04/06/2019 09:00:00";20,68;0,52;38,16
"04/06/2019 10:00:00";20,66;0,52;38,12
"04/06/2019 11:00:00";20,66;0,51;38,12
"04/06/2019 12:00:00";20,59;0,51;38,13
"04/06/2019 13:00:00";20,55;0,52;38,12
"04/06/2019 14:00:00";20,50;0,51;38,12
"04/06/2019 15:00:00";20,54;0,52;38,11
"04/06/2019 16:00:00";20,58;0,52;38,11
"04/06/2019 17:00:00";20,61;0,52;38,12
"04/06/2019 18:00:00";20,60;0,52;38,12
"04/06/2019 19:00:00";20,61;0,51;38,11
"04/06/2019 20:00:00";20,60;0,52;38,12
"04/06/2019 21:00:00";20,60;0,52;38,12
"04/06/2019 22:00:00";20,65;0,54;38,12
"04/06/2019 23:00:00";20,63;0,56;38,14
"05/06/2019 00:00:00";20,59;0,56;38,14
"05/06/2019 01:00:00";20,52;0,59;38,14
"05/06/2019 02:00:00";20,43;0,57;38,12
"05/06/2019 03:00:00";20,33;0,59;38,11
"05/06/2019 04:00:00";20,24;0,60;38,10
"05/06/2019 05:00:00";20,12;0,60;38,08
"05/06/2019 06:00:00";20,00;0,61;38,05
"05/06/2019 07:00:00";19,84;0,60;38,05
"05/06/2019 08:00:00";19,64;0,62;38,02
"05/06/2019 09:00:00";19,45;0,62;37,98
"05/06/2019 10:00:00";19,25;0,63;37,96
"05/06/2019 11:00:00";19,21;0,64;37,95
"05/06/2019 12:00:00";19,08;0,64;37,96
"05/06/2019 13:00:00";18,89;0,65;37,99
"05/06/2019 14:00:00";18,71;0,65;37,99
"05/06/2019 15:00:00";18,60;0,65;37,97
"05/06/2019 16:00:00";18,55;0,65;37,97
"05/06/2019 17:00:00";18,55;0,64;37,99
"05/06/2019 18:00:00";18,60;0,66;37,98
"05/06/2019 19:00:00";18,64;0,66;38,00
"05/06/2019 20:00:00";18,66;0,66;38,00
"05/06/2019 21:00:00";18,67;0,66;37,99
"05/06/2019 22:00:00";18,68;0,67;37,99
"05/06/2019 23:00:00";18,71;0,67;37,99
"06/06/2019 00:00:00";18,71;0,68;37,99
"06/06/2019 01:00:00";18,71;0,68;37,98
"06/06/2019 02:00:00";18,70;0,69;37,97
"06/06/2019 03:00:00";18,67;0,70;37,98
"06/06/2019 04:00:00";18,64;0,72;37,96
"06/06/2019 05:00:00";18,61;0,72;37,97
"06/06/2019 06:00:00";18,57;0,73;37,96
"06/06/2019 07:00:00";18,52;0,74;37,94
"06/06/2019 08:00:00";18,50;0,74;37,94
"06/06/2019 09:00:00";18,40;0,75;37,92
"06/06/2019 10:00:00";18,29;0,74;37,92
"06/06/2019 11:00:00";18,27;0,74;37,90
"06/06/2019 12:00:00";18,31;0,75;37,91
"06/06/2019 13:00:00";18,39;0,76;37,90
"06/06/2019 14:00:00";18,48;0,75;37,88
"06/06/2019 15:00:00";18,57;0,74;37,90
"06/06/2019 16:00:00";18,62;0,75;37,90
"06/06/2019 17:00:00";18,67;0,73;37,90
"06/06/2019 18:00:00";18,77;0,72;37,92
"06/06/2019 19:00:00";18,84;0,72;37,93
"06/06/2019 20:00:00";18,87;0,70;37,93
"06/06/2019 21:00:00";18,88;0,70;37,93
"06/06/2019 22:00:00";18,92;0,70;37,93
"06/06/2019 23:00:00";18,93;0,70;37,94
"07/06/2019 00:00:00";18,97;0,72;37,95
"07/06/2019 01:00:00";19,00;0,70;37,95
"07/06/2019 02:00:00";19,00;0,69;37,95
"07/06/2019 03:00:00";19,01;0,69;37,93
"07/06/2019 04:00:00";19,00;0,67;37,93
"07/06/2019 05:00:00";19,00;0,66;37,91
"07/06/2019 06:00:00";19,00;0,64;37,91
"07/06/2019 07:00:00";19,00;0,64;37,90
"07/06/2019 08:00:00";19,00;0,65;37,89
"07/06/2019 09:00:00";19,01;0,64;37,90
"07/06/2019 10:00:00";19,04;0,65;37,89
"07/06/2019 11:00:00";19,02;0,65;37,89
"07/06/2019 12:00:00";19,00;0,66;37,92
"07/06/2019 13:00:00";18,94;0,64;37,91
"07/06/2019 14:00:00";18,93;0,63;37,89
"07/06/2019 15:00:00";18,87;0,62;37,87
"07/06/2019 16:00:00";18,84;0,63;37,84
"07/06/2019 17:00:00";18,80;0,64;37,83
"07/06/2019 18:00:00";18,80;0,66;37,81
"07/06/2019 19:00:00";18,80;0,64;37,80
"07/06/2019 20:00:00";18,67;0,70;37,79
"07/06/2019 21:00:00";18,52;0,74;37,74
"07/06/2019 22:00:00";18,41;0,78;37,73
"07/06/2019 23:00:00";18,30;0,79;37,69
"08/06/2019 00:00:00";18,18;0,80;37,65
"08/06/2019 01:00:00";18,05;0,84;37,63
"08/06/2019 02:00:00";17,67;0,85;37,62
"08/06/2019 03:00:00";17,08;0,86;37,55
"08/06/2019 04:00:00";16,73;0,86;37,42
"08/06/2019 05:00:00";16,43;0,88;37,30
"08/06/2019 06:00:00";16,20;0,88;37,22
"08/06/2019 07:00:00";16,03;0,89;37,17
"08/06/2019 08:00:00";15,96;0,91;37,18
"08/06/2019 09:00:00";15,87;0,92;37,19
"08/06/2019 10:00:00";15,68;0,93;37,21
"08/06/2019 11:00:00";15,50;0,96;37,10
"08/06/2019 12:00:00";15,45;0,96;37,07
"08/06/2019 13:00:00";15,47;0,96;36,99
"08/06/2019 14:00:00";15,70;0,96;37,02
"08/06/2019 15:00:00";15,92;0,98;37,06
"08/06/2019 16:00:00";16,08;0,96;37,07
"08/06/2019 17:00:00";16,29;0,97;37,12
"08/06/2019 18:00:00";16,49;0,97;37,18
"08/06/2019 19:00:00";16,66;0,96;37,22
"08/06/2019 20:00:00";16,76;0,97;37,25
"08/06/2019 21:00:00";16,83;0,96;37,27
"08/06/2019 22:00:00";16,89;0,98;37,28
"08/06/2019 23:00:00";16,93;0,97;37,28
"09/06/2019 00:00:00";16,94;0,97;37,29
"09/06/2019 01:00:00";16,95;0,98;37,29
"09/06/2019 02:00:00";16,97;0,98;37,29
"09/06/2019 03:00:00";16,99;0,96;37,28
"09/06/2019 04:00:00";17,01;0,97;37,28
"09/06/2019 05:00:00";17,02;0,96;37,26
"09/06/2019 06:00:00";17,04;0,96;37,25
"09/06/2019 07:00:00";17,05;0,96;37,23
"09/06/2019 08:00:00";17,07;0,96;37,22
"09/06/2019 09:00:00";17,10;0,96;37,21
"09/06/2019 10:00:00";17,14;0,94;37,20
"09/06/2019 11:00:00";17,17;0,94;37,20
"09/06/2019 12:00:00";17,21;0,93;37,20
"09/06/2019 13:00:00";17,23;0,94;37,19
"09/06/2019 14:00:00";17,26;0,93;37,19
"09/06/2019 15:00:00";17,34;0,94;37,19
"09/06/2019 16:00:00";17,37;0,92;37,20
"09/06/2019 17:00:00";17,42;0,92;37,20
"09/06/2019 18:00:00";17,46;0,92;37,21
"09/06/2019 19:00:00";17,49;0,92;37,22
"09/06/2019 20:00:00";17,51;0,92;37,22
"09/06/2019 21:00:00";17,52;0,92;37,22
"09/06/2019 22:00:00";17,53;0,91;37,23
"09/06/2019 23:00:00";17,54;0,92;37,22
"10/06/2019 00:00:00";17,55;0,92;37,23
"10/06/2019 01:00:00";17,57;0,91;37,22
"10/06/2019 02:00:00";17,58;0,92;37,21
"10/06/2019 03:00:00";17,60;0,91;37,21
"10/06/2019 04:00:00";17,62;0,91;37,21
"10/06/2019 05:00:00";17,62;0,91;37,21
"10/06/2019 06:00:00";17,64;0,89;37,21
"10/06/2019 07:00:00";17,66;0,89;37,20
"10/06/2019 08:00:00";17,67;0,90;37,19
"10/06/2019 09:00:00";17,68;0,90;37,18
"10/06/2019 10:00:00";17,69;0,89;37,17
"10/06/2019 11:00:00";17,68;0,89;37,17
"10/06/2019 12:00:00";17,66;0,89;37,15
"10/06/2019 13:00:00";17,66;0,88;37,14
"10/06/2019 14:00:00";17,66;0,88;37,13
"10/06/2019 15:00:00";17,71;0,87;37,13
"10/06/2019 16:00:00";17,78;0,87;37,13
"10/06/2019 17:00:00";17,86;0,88;37,14
"10/06/2019 18:00:00";17,93;0,87;37,15
"10/06/2019 19:00:00";17,96;0,87;37,16
"10/06/2019 20:00:00";17,98;0,86;37,17
"10/06/2019 21:00:00";17,99;0,86;37,17
"10/06/2019 22:00:00";17,99;0,85;37,17
"10/06/2019 23:00:00";18,00;0,86;37,17
"11/06/2019 00:00:00";18,01;0,86;37,17
"11/06/2019 01:00:00";18,01;0,85;37,17
"11/06/2019 02:00:00";18,02;0,84;37,17
"11/06/2019 03:00:00";18,02;0,84;37,17
"11/06/2019 04:00:00";18,02;0,82;37,18
"11/06/2019 05:00:00";18,01;0,82;37,18
"11/06/2019 06:00:00";17,98;0,82;37,17
"11/06/2019 07:00:00";17,92;0,81;37,17
"11/06/2019 08:00:00";17,81;0,81;37,15
"11/06/2019 09:00:00";17,69;0,81;37,15
"11/06/2019 10:00:00";17,38;0,82;37,20
"11/06/2019 11:00:00";16,95;0,81;37,23
"11/06/2019 12:00:00";16,91;0,81;37,21
"11/06/2019 13:00:00";16,98;0,80;37,21
"11/06/2019 14:00:00";17,09;0,81;37,22
"11/06/2019 15:00:00";17,14;0,81;37,23
"11/06/2019 16:00:00";17,20;0,81;37,23
"11/06/2019 17:00:00";17,29;0,80;37,24
"11/06/2019 18:00:00";17,39;0,80;37,25
"11/06/2019 19:00:00";17,42;0,81;37,27
"11/06/2019 20:00:00";17,45;0,80;37,28
"11/06/2019 21:00:00";17,48;0,80;37,27
"11/06/2019 22:00:00";17,49;0,81;37,27
"11/06/2019 23:00:00";17,52;0,80;37,27
"12/06/2019 00:00:00";17,53;0,80;37,27
"12/06/2019 01:00:00";17,56;0,79;37,27
"12/06/2019 02:00:00";17,58;0,79;37,27
"12/06/2019 03:00:00";17,61;0,80;37,27
"12/06/2019 04:00:00";17,63;0,79;37,28
"12/06/2019 05:00:00";17,65;0,79;37,29
"12/06/2019 06:00:00";17,67;0,78;37,28
"12/06/2019 07:00:00";17,69;0,79;37,28
"12/06/2019 08:00:00";17,69;0,79;37,27
"12/06/2019 09:00:00";17,70;0,79;37,29
"12/06/2019 10:00:00";17,71;0,77;37,30
"12/06/2019 11:00:00";17,74;0,78;37,30
"12/06/2019 12:00:00";17,74;0,78;37,30
"12/06/2019 13:00:00";17,75;0,77;37,30
"12/06/2019 14:00:00";17,78;0,79;37,31
"12/06/2019 15:00:00";17,82;0,78;37,30
"12/06/2019 16:00:00";17,82;0,79;37,30
"12/06/2019 17:00:00";17,82;0,78;37,32
"12/06/2019 18:00:00";17,83;0,79;37,31
"12/06/2019 19:00:00";17,88;0,78;37,31
"12/06/2019 20:00:00";17,90;0,77;37,30
"12/06/2019 21:00:00";17,92;0,78;37,30
"12/06/2019 22:00:00";17,92;0,78;37,30
"12/06/2019 23:00:00";17,92;0,78;37,30
"13/06/2019 00:00:00";17,92;0,78;37,31
"13/06/2019 01:00:00";17,94;0,78;37,30
"13/06/2019 02:00:00";17,95;0,78;37,31
"13/06/2019 03:00:00";17,96;0,78;37,31
"13/06/2019 04:00:00";17,98;0,78;37,31
"13/06/2019 05:00:00";17,99;0,77;37,31
"13/06/2019 06:00:00";18,03;0,77;37,31
"13/06/2019 07:00:00";17,88;0,78;37,30
"13/06/2019 08:00:00";17,61;0,78;37,31
"13/06/2019 09:00:00";17,39;0,79;37,32
"13/06/2019 10:00:00";17,21;0,78;37,32
"13/06/2019 11:00:00";17,09;0,78;37,32
"13/06/2019 12:00:00";17,08;0,78;37,32
"13/06/2019 13:00:00";17,16;0,79;37,33
"13/06/2019 14:00:00";17,22;0,79;37,35
"13/06/2019 15:00:00";17,31;0,79;37,35
"13/06/2019 16:00:00";17,36;0,79;37,34
"13/06/2019 17:00:00";17,37;0,78;37,34
"13/06/2019 18:00:00";17,41;0,78;37,35
"13/06/2019 19:00:00";17,44;0,78;37,35
"13/06/2019 20:00:00";17,45;0,78;37,36
"13/06/2019 21:00:00";17,45;0,79;37,36
"13/06/2019 22:00:00";17,46;0,79;37,36
"13/06/2019 23:00:00";17,47;0,80;37,35
"14/06/2019 00:00:00";17,48;0,79;37,35
"14/06/2019 01:00:00";17,50;0,79;37,35
"14/06/2019 02:00:00";17,53;0,78;37,36
"14/06/2019 03:00:00";17,60;0,79;37,35
"14/06/2019 04:00:00";17,66;0,77;37,38
"14/06/2019 05:00:00";17,71;0,78;37,39
"14/06/2019 06:00:00";17,79;0,79;37,46
"14/06/2019 07:00:00";17,49;0,79;37,51
"14/06/2019 08:00:00";17,17;0,80;37,54
"14/06/2019 09:00:00";16,93;0,81;37,55
"14/06/2019 10:00:00";16,76;0,81;37,55
"14/06/2019 11:00:00";16,74;0,81;37,57
"14/06/2019 12:00:00";16,80;0,81;37,56
"14/06/2019 13:00:00";16,87;0,81;37,57
"14/06/2019 14:00:00";16,98;0,80;37,59
"14/06/2019 15:00:00";17,02;0,81;37,57
"14/06/2019 16:00:00";17,05;0,80;37,58
"14/06/2019 17:00:00";17,09;0,78;37,59
"14/06/2019 18:00:00";17,11;0,79;37,59
"14/06/2019 19:00:00";17,13;0,79;37,58
"14/06/2019 20:00:00";17,16;0,79;37,59
"14/06/2019 21:00:00";17,17;0,78;37,59
"14/06/2019 22:00:00";17,18;0,78;37,59
"14/06/2019 23:00:00";17,21;0,79;37,59
"15/06/2019 00:00:00";17,23;0,79;37,60
"15/06/2019 01:00:00";17,27;0,80;37,61
"15/06/2019 02:00:00";17,31;0,79;37,62
"15/06/2019 03:00:00";17,33;0,80;37,63
"15/06/2019 04:00:00";17,37;0,80;37,62
"15/06/2019 05:00:00";17,41;0,80;37,63
"15/06/2019 06:00:00";17,45;0,79;37,63
"15/06/2019 07:00:00";17,55;0,79;37,65
"15/06/2019 08:00:00";17,69;0,80;37,68
"15/06/2019 09:00:00";17,74;0,80;37,77
"15/06/2019 10:00:00";17,69;0,80;37,77
"15/06/2019 11:00:00";17,66;0,80;37,77
"15/06/2019 12:00:00";17,66;0,80;37,78
"15/06/2019 13:00:00";17,68;0,81;37,79
"15/06/2019 14:00:00";17,69;0,81;37,80
"15/06/2019 15:00:00";17,74;0,80;37,81
"15/06/2019 16:00:00";17,74;0,81;37,81
"15/06/2019 17:00:00";17,75;0,80;37,82
"15/06/2019 18:00:00";17,79;0,79;37,83
"15/06/2019 19:00:00";17,80;0,80;37,84
"15/06/2019 20:00:00";17,78;0,80;37,85
