"STPSxx-SPCT Inductif_35007_20191226_140022.csv"
"Claire Maxime"
"sn :";35007
"Cadence d'enregistrement :";"3600 s"

Date;"Température (-5 +35°C) (°C)";"Profondeur 30m (m)";"Salinité (g/l)"
"26/11/2019 12:00:00";10,99;0,17;27,19
"26/11/2019 13:00:00";11,44;0,17;27,19
"26/11/2019 14:00:00";11,74;0,16;27,05
"26/11/2019 15:00:00";11,92;0,15;27,09
"26/11/2019 16:00:00";11,96;0,15;27,08
"26/11/2019 17:00:00";11,86;0,14;27,11
"26/11/2019 18:00:00";11,73;0,14;27,13
"26/11/2019 19:00:00";11,60;0,14;27,28
"26/11/2019 20:00:00";11,56;0,13;27,25
"26/11/2019 21:00:00";11,45;0,13;27,15
"26/11/2019 22:00:00";11,31;0,12;27,12
"26/11/2019 23:00:00";11,18;0,11;27,01
"27/11/2019 00:00:00";11,03;0,10;27,00
"27/11/2019 01:00:00";10,87;0,09;27,08
"27/11/2019 02:00:00";10,66;0,09;27,10
"27/11/2019 03:00:00";10,58;0,09;27,04
"27/11/2019 04:00:00";10,49;0,10;27,07
"27/11/2019 05:00:00";10,34;0,10;27,06
"27/11/2019 06:00:00";10,22;0,10;27,05
"27/11/2019 07:00:00";10,10;0,10;27,10
"27/11/2019 08:00:00";10,06;0,10;27,08
"27/11/2019 09:00:00";10,04;0,11;27,11
"27/11/2019 10:00:00";10,20;0,10;29,67
"27/11/2019 11:00:00";10,26;0,30;28,89
"27/11/2019 12:00:00";10,36;0,41;29,08
"27/11/2019 13:00:00";10,47;0,44;29,16
"27/11/2019 14:00:00";10,53;0,44;29,16
"27/11/2019 15:00:00";10,57;0,47;29,15
"27/11/2019 16:00:00";10,64;0,47;29,15
"27/11/2019 17:00:00";10,61;0,48;29,16
"27/11/2019 18:00:00";10,55;0,48;29,14
"27/11/2019 19:00:00";10,50;0,49;29,15
"27/11/2019 20:00:00";10,47;0,60;29,33
"27/11/2019 21:00:00";10,44;0,66;29,15
"27/11/2019 22:00:00";10,43;0,67;29,19
"27/11/2019 23:00:00";10,38;0,67;29,18
"28/11/2019 00:00:00";10,32;0,66;29,19
"28/11/2019 01:00:00";10,27;0,66;29,19
"28/11/2019 02:00:00";10,20;0,66;29,18
"28/11/2019 03:00:00";10,18;0,65;29,19
"28/11/2019 04:00:00";10,17;0,65;29,18
"28/11/2019 05:00:00";10,15;0,65;29,17
"28/11/2019 06:00:00";10,11;0,64;29,15
"28/11/2019 07:00:00";10,09;0,65;29,10
"28/11/2019 08:00:00";10,08;0,66;29,10
"28/11/2019 09:00:00";10,08;0,69;29,25
"28/11/2019 10:00:00";10,06;0,70;29,04
"28/11/2019 11:00:00";10,11;0,70;29,02
"28/11/2019 12:00:00";10,22;0,70;29,00
"28/11/2019 13:00:00";10,35;0,70;29,03
"28/11/2019 14:00:00";10,47;0,70;29,07
"28/11/2019 15:00:00";10,49;0,70;29,08
"28/11/2019 16:00:00";10,53;0,70;29,10
"28/11/2019 17:00:00";10,53;0,70;29,12
"28/11/2019 18:00:00";10,53;0,70;29,11
"28/11/2019 19:00:00";10,50;0,70;29,12
"28/11/2019 20:00:00";10,51;0,70;29,12
"28/11/2019 21:00:00";10,49;0,72;29,11
"28/11/2019 22:00:00";10,47;0,74;29,15
"28/11/2019 23:00:00";10,48;0,74;29,13
"29/11/2019 00:00:00";10,41;0,74;29,09
